bin,timestamp_index,bin_death_index,pageid,timestamp,views,views_adjusted,share
54,381,48,7218368,20210116,26828,25185,0.00001448
55,388,49,7218368,20210123,25813,24457,0.00001407
56,395,50,7218368,20210130,31852,30530,0.00001755
57,402,51,7218368,20210206,32615,31391,0.00001800
58,409,52,7218368,20210213,156276,148284,0.00008593
59,416,53,7218368,20210220,32771,30808,0.00001776
60,423,54,7218368,20210227,33640,31363,0.00001807
61,430,55,7218368,20210306,79362,75576,0.00004324
62,437,56,7218368,20210313,244077,234635,0.00013309
63,444,57,7218368,20210320,83223,79896,0.00004607
64,451,58,7218368,20210327,37228,36451,0.00002108
65,458,59,7218368,20210403,24465,23497,0.00001353
66,465,60,7218368,20210410,21280,20539,0.00001187
67,472,61,7218368,20210417,18695,18261,0.00001053
68,479,62,7218368,20210424,19377,18930,0.00001091
69,486,63,7218368,20210501,19075,18771,0.00001084
70,493,64,7218368,20210508,18822,18668,0.00001074
71,500,65,7218368,20210515,16615,16277,0.00000938
72,507,66,7218368,20210522,16362,16141,0.00000931
73,514,67,7218368,20210529,17217,17186,0.00000989
74,521,68,7218368,20210605,20085,20922,0.00001203
75,528,69,7218368,20210612,23977,25231,0.00001457
76,535,70,7218368,20210619,22776,24528,0.00001414
77,542,71,7218368,20210626,42454,44105,0.00002551
78,549,72,7218368,20210703,35553,35495,0.00002044
79,556,73,7218368,20210710,36641,38041,0.00002178
80,563,74,7218368,20210717,29398,30493,0.00001754
81,570,75,7218368,20210724,27334,27522,0.00001583
82,577,76,7218368,20210731,26789,27291,0.00001574
83,584,77,7218368,20210807,25212,25727,0.00001487
84,591,78,7218368,20210814,22792,23397,0.00001349
85,598,79,7218368,20210821,28545,29565,0.00001707
86,605,80,7218368,20210828,24134,25069,0.00001450
87,612,81,7218368,20210904,23283,24245,0.00001398
88,619,82,7218368,20210911,17970,18736,0.00001081
89,626,83,7218368,20210918,24124,25527,0.00001473
90,633,84,7218368,20210925,16353,17445,0.00001005
91,640,85,7218368,20211002,18516,19838,0.00001144
92,647,86,7218368,20211009,17327,18639,0.00001073
93,654,87,7218368,20211016,16753,17914,0.00001033
94,661,88,7218368,20211023,17818,18979,0.00001094
95,668,89,7218368,20211030,19503,21122,0.00001216
96,675,90,7218368,20211106,35854,39582,0.00002275
97,682,91,7218368,20211113,21869,24040,0.00001385
98,689,92,7218368,20211120,18602,20876,0.00001206
99,696,93,7218368,20211127,15874,17633,0.00001017
100,703,94,7218368,20211204,16688,18636,0.00001070
101,710,95,7218368,20211211,16075,18164,0.00001049
102,717,96,7218368,20211218,13745,16049,0.00000926
103,724,97,7218368,20211225,15582,16820,0.00000969
0,0,-7,61526577,20200101,2555,2356,0.00000135
1,7,-6,61526577,20200108,11011,10052,0.00000587
2,14,-5,61526577,20200115,40422,37967,0.00002174
3,21,-4,61526577,20200122,33354,30807,0.00001774
4,28,-3,61526577,20200129,22489,21596,0.00001240
5,35,-2,61526577,20200205,49118,45582,0.00002622
6,42,-1,61526577,20200212,40568,38504,0.00002201
7,49,0,61526577,20200219,1269373,1204958,0.00069800
8,56,1,61526577,20200226,118370,114208,0.00006570
9,63,2,61526577,20200304,105647,104309,0.00005972
10,70,3,61526577,20200311,67515,69532,0.00004003
11,77,4,61526577,20200318,62142,59319,0.00003406
12,84,5,61526577,20200325,71390,60978,0.00003518
13,91,6,61526577,20200401,60301,48455,0.00002784
14,98,7,61526577,20200408,56375,43914,0.00002528
15,105,8,61526577,20200415,62504,50472,0.00002905
16,112,9,61526577,20200422,56789,45691,0.00002628
17,119,10,61526577,20200429,57260,49193,0.00002829
18,126,11,61526577,20200506,72244,64793,0.00003732
